,type,f1,sub,PE
0,pynm_param_sweep,0.9411764705882353,RNS1090,20190508
1,RNS_settings,0.7368421052631579,RNS1090,20190508
2,LM,0.8888888888888888,RNS1090,20190508
3,LDA,0.8333333333333334,RNS1090,20190508
4,SVC,0.32142857142857145,RNS1090,20190508
5,RF,0.8378378378378377,RNS1090,20190508
6,XGBOOST,0.9066666666666667,RNS1090,20190508
7,pynm_param_sweep,0.9473684210526315,RNS1090,20190226
8,RNS_settings,0.6,RNS1090,20190226
9,LM,0.8533333333333334,RNS1090,20190226
10,LDA,0.8395061728395061,RNS1090,20190226
11,SVC,0.8055555555555555,RNS1090,20190226
12,RF,0.9230769230769231,RNS1090,20190226
13,XGBOOST,0.9210526315789473,RNS1090,20190226
14,pynm_param_sweep,0.9,RNS1090,20181030
15,RNS_settings,0.5490196078431372,RNS1090,20181030
16,LM,0.7469879518072289,RNS1090,20181030
17,LDA,0.6137566137566137,RNS1090,20181030
18,SVC,0.6575342465753425,RNS1090,20181030
19,RF,0.7904191616766467,RNS1090,20181030
20,XGBOOST,0.8284023668639053,RNS1090,20181030
21,pynm_param_sweep,0.9863013698630138,RNS1440,20180110
22,RNS_settings,0.3888888888888889,RNS1440,20180110
23,LM,0.5792349726775957,RNS1440,20180110
24,LDA,0.8648648648648648,RNS1440,20180110
25,SVC,0.9266055045871558,RNS1440,20180110
26,RF,0.990909090909091,RNS1440,20180110
27,XGBOOST,0.9680365296803652,RNS1440,20180110
28,pynm_param_sweep,0.9397590361445783,RNS1440,20170607
29,RNS_settings,0.38297872340425526,RNS1440,20170607
30,LM,0.38655462184873945,RNS1440,20170607
31,LDA,0.8902439024390244,RNS1440,20170607
32,SVC,0.9101796407185628,RNS1440,20170607
33,RF,0.9647058823529412,RNS1440,20170607
34,XGBOOST,0.9647058823529412,RNS1440,20170607
35,pynm_param_sweep,1.0,RNS1440,20150623
36,RNS_settings,0.33333333333333337,RNS1440,20150623
37,LM,0.6075949367088608,RNS1440,20150623
38,LDA,1.0,RNS1440,20150623
39,SVC,0.9438202247191011,RNS1440,20150623
40,RF,1.0,RNS1440,20150623
41,XGBOOST,0.9782608695652174,RNS1440,20150623
42,pynm_param_sweep,0.9873417721518987,RNS1529,20160811
43,RNS_settings,0.47058823529411764,RNS1529,20160811
44,LM,0.6901408450704225,RNS1529,20160811
45,LDA,0.9806451612903225,RNS1529,20160811
46,SVC,0.12048192771084336,RNS1529,20160811
47,RF,0.9811320754716981,RNS1529,20160811
48,XGBOOST,0.951219512195122,RNS1529,20160811
49,pynm_param_sweep,0.9523809523809523,RNS1529,20160120
50,RNS_settings,0.4444444444444445,RNS1529,20160120
